,Day,cyber attack,date,btc_per,eth_per,ltc_per,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,count,sum,txVolume(USD)_e_e,txCount_e_e,marketcap(USD)_e_e,price(USD)_e_e,exchangeVolume(USD)_e_e,generatedCoins_e_e,fees_e_e,activeAddresses_e_e,txVolume(USD)_l,txCount_l,marketcap(USD)_l,price(USD)_l,exchangeVolume(USD)_l,generatedCoins_l,fees_l,activeAddresses_l,Price_futures,Open_futures,High_futures,Low_futures,Vol._futures,Change %_futures
904,2/6/18,31.0,2018-02-06,81.0,6.0,2.0,10209584542.7,243950,118810000000.0,7051.75,13999800000.0,2125.0,164.26998571,null,9.0,11696.0,6306822927.97,888219,68958700000.0,707.74,6518270000.0,20381.625,925.6717158380001,426816,696292812.195,59946,7024630000.0,127.52,1148410000.0,16275.0,84.30704415,null,"7,580","7,290","7,770","5,880",9.88K,7.44
905,2/7/18,28.0,2018-02-07,51.0,4.0,2.0,7383538359.06,213578,130683000000.0,7755.49,9169280000.0,1762.5,123.52109098,null,13.0,11709.0,5559680835.81,818625,77032000000.0,790.43,3896180000.0,20433.75,850.59181078,392057,706127471.9530001,50320,7851100000.0,142.48,817808000.0,14275.0,76.2774976101,null,"8,265","7,780","8,560","7,190",6.45K,9.04
906,2/8/18,19.0,2018-02-08,43.0,4.0,2.0,7389507379.63,173158,128714000000.0,7637.86,9346750000.0,1637.5,87.98500449,null,5.0,11714.0,2760098148.37,681344,73676900000.0,755.84,3708190000.0,20382.09375,654.747657377,320195,551998188.869,37148,7624630000.0,138.34,869207000.0,15700.0,60.348899449899996,null,"8,280","8,190","8,660","7,560",4.28K,0.18
907,2/9/18,22.0,2018-02-09,38.0,3.0,2.0,7502707124.25,177725,139412000000.0,8271.84,6784820000.0,1687.5,88.36425123,null,18.0,11732.0,4217831832.95,789807,79799300000.0,818.48,2495820000.0,20271.75,702.094308269,370461,557879744.742,44811,8254980000.0,149.73,722205000.0,14775.0,75.34250322,null,"8,600","8,200","8,730","7,700",3.91K,3.86
909,2/11/18,25.0,2018-02-11,27.0,3.0,1.0,9520593484.72,147057,145245000000.0,8616.13,6122190000.0,1887.5,61.96458348,null,2.0,11736.0,3435390406.05,773496,83813000000.0,859.29,2486650000.0,20119.40625,646.192856431,347348,509249175.666,36009,8571530000.0,155.39,495720000.0,14600.0,59.68257197,null,"8,070","8,300","8,380","8,070",0,-6.16
910,2/12/18,35.0,2018-02-12,31.0,3.0,1.0,11113984444.6,186752,137258000000.0,8141.43,6256440000.0,2075.0,69.96971094,null,4.0,11740.0,3809068383.99,829020,79754400000.0,817.51,2243450000.0,20490.84375,642.81452428,395976,386277395.41300005,40374,8282050000.0,150.1,535710000.0,14625.0,63.8652649,null,"8,835","8,320","8,900","8,010",3.27K,9.48
911,2/13/18,30.0,2018-02-13,28.0,3.0,1.0,8924752164.74,182820,150516000000.0,8926.72,5696720000.0,2050.0,68.57325292,null,12.0,11752.0,5603860692.56,745822,84824200000.0,869.29,2081170000.0,20444.4375,631.47010946,337582,2742799230.62,41515,8928360000.0,161.78,483468000.0,15100.0,64.96108846,null,"8,685","8,840","8,970","8,340",3.29K,-1.7
912,2/14/18,32.0,2018-02-14,29.0,3.0,5.0,9585133737.85,196238,145023000000.0,8599.92,7909820000.0,2237.5,63.7584692601,null,6.0,11758.0,4132727550.27,746384,82400600000.0,844.28,2818370000.0,20052.5625,642.037200275,356928,1113145418.73,62134,8809590000.0,159.58,2383340000.0,14575.0,105.88242017,null,"8,685","8,610","9,400","8,470",2.14K,0.0
913,2/15/18,28.0,2018-02-15,31.0,3.0,4.0,9046158952.15,198052,160025000000.0,9488.32,9062540000.0,1637.5,64.08005499,null,8.0,11766.0,5083084029.26,777318,90173300000.0,923.73,2900100000.0,20603.53125,634.59707879,369499,1940812798.63,64146,11725700000.0,212.35,2087290000.0,14600.0,107.95898017,null,"10,095","9,350","10,220","9,310",5.75K,16.23
914,2/16/18,25.0,2018-02-16,27.0,3.0,3.0,6879188520.01,187581,170960000000.0,10135.7,7296160000.0,1962.5,58.25713445,null,10.0,11776.0,4069546921.54,704758,91272100000.0,934.79,2369450000.0,20377.125,601.582134923,312693,944142622.459,55687,12455300000.0,225.5,1300090000.0,14525.0,81.5280259399,null,"10,135","10,060","10,320","9,740",4.23K,0.4
916,2/18/18,12.0,2018-02-18,27.0,3.0,4.0,14588036498.5,159333,187663000000.0,11123.4,8744010000.0,2025.0,44.5832808101,null,9.0,11787.0,4050398618.96,756092,95077100000.0,973.35,2567290000.0,20346.09375,766.14504792,314608,2004310691.74,75280,12738800000.0,230.51,1011120000.0,14925.0,114.95309574,null,"10,390","10,150","10,640","10,150",0,2.52
917,2/19/18,20.0,2018-02-19,25.0,3.0,3.0,15274937955.0,187205,178055000000.0,10552.6,7652090000.0,2025.0,50.9081119001,null,9.0,11796.0,3515123303.56,811384,90047700000.0,921.67,2169020000.0,20427.375,656.179260443,356302,686853661.998,55631,11907900000.0,215.41,767597000.0,13950.0,91.2252376199,null,"11,210","10,390","11,270","10,330",0,7.89
918,2/20/18,21.0,2018-02-20,28.0,3.0,4.0,11256696602.2,198314,189536000000.0,11231.8,9926540000.0,1762.5,52.23072575,null,9.0,11805.0,4203523591.4,886897,92206500000.0,943.57,2545260000.0,20407.3125,745.4169636419999,378453,746941071.9530001,57841,12335100000.0,223.09,1739670000.0,14650.0,97.08622136,null,"11,685","10,440","11,800","10,330",8.39K,4.24
919,2/21/18,26.0,2018-02-21,28.0,3.0,3.0,12215613119.1,205032,191927000000.0,11372.2,9405340000.0,2112.5,40.68256761,null,10.0,11815.0,3894221425.32,850504,87394200000.0,894.13,2531730000.0,20670.5625,741.308287977,351754,678587623.017,47113,12773200000.0,230.95,1195820000.0,14750.0,78.77866681,null,"10,340","11,710","11,770","10,180",8.65K,-11.51
920,2/22/18,27.0,2018-02-22,26.0,3.0,2.0,12015582851.9,183086,179936000000.0,10660.4,8040080000.0,1862.5,37.60222865,null,5.0,11820.0,4813951400.83,761893,83025800000.0,849.26,2150370000.0,20403.09375,614.720011617,329591,1048006594.38,43229,11774800000.0,212.84,974379000.0,14800.0,74.0882027101,null,"10,015","10,330","10,850","9,700",6.78K,-3.14
921,2/23/18,24.0,2018-02-23,23.0,2.0,2.0,7347626606.17,185045,167746000000.0,9937.07,7739500000.0,1850.0,73.94810594,null,9.0,11829.0,2561777240.19,733084,79358900000.0,811.59,2334820000.0,20661.0,626.4113855209999,315849,613925198.579,41534,10746100000.0,194.19,1065680000.0,15075.0,71.16945129999999,null,"9,920","9,860","10,340","9,530",6.59K,-0.95
923,2/25/18,17.0,2018-02-25,19.0,2.0,2.0,4384695642.1,144698,165407000000.0,9796.42,5706940000.0,2137.5,41.44060303,null,5.0,11839.0,1579475870.47,690582,82119100000.0,839.46,1646960000.0,20219.15625,548.954074266,282267,363372843.617,36437,11523500000.0,208.13,1028590000.0,14050.0,53.82658916,null,"9,560","9,680","9,700","9,510",0,-3.63
924,2/26/18,27.0,2018-02-26,21.0,2.0,2.0,6386756346.89,186333,163283000000.0,9669.43,7287690000.0,1762.5,46.19035139,null,10.0,11849.0,2084869097.09,737453,82705400000.0,845.28,2044480000.0,20335.3125,546.312001807,350653,545217203.123,41920,12302000000.0,222.14,1297080000.0,14425.0,78.24285644,null,"10,330","9,680","10,400","9,290",2.67K,8.05
925,2/27/18,27.0,2018-02-27,22.0,2.0,2.0,7116756940.12,219464,175536000000.0,10393.9,6966180000.0,2000.0,50.54578675,null,10.0,11859.0,1350335476.37,694583,85177800000.0,870.37,2053980000.0,20412.75,564.395121085,334754,474395879.33699995,42480,12281600000.0,221.71,856454000.0,14450.0,70.10739479,null,"10,675","10,350","10,850","10,120",3.03K,3.34
926,2/28/18,30.0,2018-02-28,21.0,2.0,1.0,9233137526.8,189068,180510000000.0,10687.2,6936190000.0,1937.49999927,51.29908837,null,12.0,11871.0,1378874635.75,720368,85936400000.0,877.93,1963980000.0,20569.125,749.088778485,358558,580126373.737,74744,12039200000.0,217.28,761322000.0,14475.0,75.48160086,null,"10,695","10,660","11,040","10,340",5.43K,0.19
927,3/1/18,31.0,2018-03-01,19.0,2.0,1.0,9757408493.77,233579,175427000000.0,10385.0,7317280000.0,2062.5,52.05574602,null,5.0,11876.0,1459478132.52,684404,83808200000.0,856.01,1868520000.0,20387.15625,571.259398161,328358,382200627.975,50091,11257600000.0,203.12,678542000.0,14375.0,66.04235153,null,"11,025","10,500","11,110","10,200",5.89K,3.09
928,3/2/18,25.0,2018-03-02,19.0,2.0,1.0,7917264412.99,194917,185456000000.0,10977.4,7620590000.0,1950.0,42.01376982,null,7.0,11883.0,1359727189.99,744666,85368100000.0,871.76,1894420000.0,20674.96875,734.4096799539999,336319,418353436.869,38813,11617300000.0,209.56,627142000.0,15000.0,47.64439942,null,"11,015","11,000","11,220","10,770",4.04K,-0.09
930,3/4/18,17.0,2018-03-04,17.0,2.0,1.0,5268982642.49,160083,194289000000.0,11497.4,6084150000.0,1850.0,33.46586197,null,3.0,11890.0,923336640.166,643241,83877800000.0,856.19,1697940000.0,20220.28125,553.921798491,273682,264114235.556,31630,11661400000.0,210.24,574675000.0,14225.0,43.2411373,null,"11,550","11,400","11,580","11,400",0,4.86
931,3/5/18,28.0,2018-03-05,19.0,2.0,1.0,8062165666.72,201289,194903000000.0,11532.4,6468540000.0,1862.5,44.53138052,null,19.0,11909.0,1371697962.42,752756,84939700000.0,866.85,1898490000.0,20317.5,633.9678970909999,342784,376907573.258,37546,11858800000.0,213.74,594829000.0,15725.0,46.69046359,null,"11,570","11,350","11,710","11,350",2.64K,0.17
932,3/6/18,23.0,2018-03-06,19.0,2.0,1.0,7260012004.65,205860,194378000000.0,11500.1,6832170000.0,1950.0,37.24003205,null,12.0,11921.0,1671353896.64,712591,83680400000.0,853.82,1943070000.0,20446.03125,516.093938894,345761,459394144.936,36769,11683000000.0,210.51,661078000.0,15625.0,46.7440256,null,"10,735","11,600","11,650","10,550",4.12K,-7.22
933,3/7/18,24.0,2018-03-07,22.0,2.0,1.0,7144578485.21,213821,182631000000.0,10803.9,8797910000.0,1962.5,34.8377064,null,22.0,11943.0,1624823061.33,783757,80017300000.0,816.27,2175420000.0,20616.9375,610.123386231,448019,437709173.36,38530,10926500000.0,196.83,755925000.0,15475.0,47.51002192,null,"9,835","10,780","10,900","9,370",8.78K,-8.38
934,3/8/18,28.0,2018-03-08,22.0,2.0,1.0,7230854770.82,196260,168241000000.0,9951.44,7186090000.0,2025.0,35.63080068,null,5.0,11948.0,1262863624.97,690139,73788400000.0,752.57,1891640000.0,20299.59375,540.633566535,329912,564954944.022,36806,10311600000.0,185.7,612509000.0,14575.0,77.8337770098,null,"9,440","9,980","10,140","9,070",7.75K,-4.02
935,3/9/18,17.0,2018-03-09,24.0,2.0,1.0,7513778455.8,198034,159185000000.0,9414.69,8704190000.0,1825.0,34.8459414,null,4.0,11952.0,1277175293.11,650058,68863600000.0,702.2,2233020000.0,20375.0625,500.781516993,317340,474991415.648,39903,9802410000.0,176.48,943364000.0,13800.0,49.16242811,null,"9,135","9,300","9,450","8,380",8.20K,-3.23
937,3/11/18,17.0,2018-03-11,17.0,2.0,1.0,4125518664.93,150731,149716000000.0,8852.78,6296370000.0,1912.5,39.61038377,null,4.0,11959.0,746910932.6810001,608899,67235700000.0,685.31,1562680000.0,20532.5625,361.572810784,270698,396873605.066,28583,9864710000.0,177.51,669378000.0,14475.0,39.5156146801,null,"9,620","9,310","9,820","9,310",0,5.31
938,3/12/18,20.0,2018-03-12,20.0,2.0,1.0,6416998188.76,188233,162421000000.0,9602.93,6457400000.0,2012.5,33.46783473,null,9.0,11968.0,1085039653.8,677908,71086000000.0,724.41,1765000000.0,20360.4375,513.4220003319999,312268,422242963.446,30179,10506700000.0,189.02,567629000.0,14600.0,44.221591259899995,null,"8,855","9,450","9,960","8,740",8.15K,-7.95
939,3/13/18,40.0,2018-03-13,19.0,2.0,1.0,5711389197.11,195982,155168000000.0,9173.04,5991140000.0,1975.0,60.67628875,null,9.0,11977.0,1906177176.82,699093,68524000000.0,698.15,1425960000.0,20381.625,391.731498949,319562,393270050.011,31265,9874530000.0,177.6,468094000.0,15775.0,41.47125743,null,"9,075","9,050","9,500","8,820",11.44K,2.48
940,3/14/18,29.0,2018-03-14,22.0,2.0,1.0,6195101928.36,190898,155891000000.0,9214.65,6438230000.0,1800.0,37.04036657,null,6.0,11983.0,1335574282.87,671198,67857600000.0,691.22,1810560000.0,20410.03125,421.588644265,342300,297169406.788,33328,9785030000.0,175.94,480653000.0,13775.0,41.84021261,null,"8,236","8,970","9,380","8,200",2.03K,-9.25
941,3/15/18,33.0,2018-03-15,24.0,2.0,1.0,6800060235.42,206042,140275000000.0,8290.76,6834430000.0,1800.0,36.64624829,null,12.0,11995.0,1157300355.45,654531,60371800000.0,614.84,1770460000.0,20495.8125,393.576583529,319298,343969231.72400004,35691,8967720000.0,161.2,564609000.0,14025.0,45.1287544101,null,"8,290","8,100","8,470","7,680",14.14K,0.66
942,3/16/18,41.0,2018-03-16,20.0,2.0,1.0,4971515727.6,186823,140834000000.0,8322.91,5289380000.0,1950.0,29.65177072,null,5.0,12000.0,849066668.83,654584,60083700000.0,611.78,1417350000.0,20533.40625,420.405332256,300745,211387914.382,31561,9171160000.0,164.82,436628000.0,15725.0,37.7427654401,null,"8,585","8,350","8,660","7,910",9.42K,3.56
944,3/18/18,22.0,2018-03-18,22.0,3.0,1.0,3900493413.3,164250,133547000000.0,7890.52,6639190000.0,1887.5,25.33293823,null,1.0,12008.0,1579813250.77,684094,54200100000.0,551.64,2685500000.0,20333.0625,363.78777925699995,309523,283850309.978,33000,8492470000.0,152.54,595955000.0,14075.0,38.19523448,null,"8,230","8,170","8,310","8,100",0,-4.14
945,3/19/18,27.0,2018-03-19,21.0,2.0,1.0,5371659508.35,191373,141240000000.0,8344.12,6729110000.0,1937.5,30.78064883,null,5.0,12013.0,1274552362.79,703891,53718600000.0,546.63,2046790000.0,20309.90625,377.053890282,347728,284286987.76,31025,8658190000.0,155.47,504833000.0,14575.0,41.71644102,null,"8,445","8,180","8,730","8,100",7.53K,2.61
946,3/20/18,16.0,2018-03-20,19.0,2.0,1.0,5042975777.59,195041,145922000000.0,8619.67,6361790000.0,1587.5,31.3790795,null,4.0,12017.0,1064969517.24,661791,54722100000.0,556.72,1833680000.0,20410.3125,379.918837075,310436,273901408.81200004,32184,8997260000.0,161.52,492892000.0,13850.0,39.45310999,null,"9,020","8,390","9,040","8,330",6.24K,6.81
947,3/21/18,26.0,2018-03-21,19.0,2.0,1.0,6020064793.42,194694,151316000000.0,8937.48,6043130000.0,1900.0,31.0252744,null,10.0,12027.0,995717188.857,697872,54967300000.0,559.1,1781270000.0,20292.28125,442.726380125,322852,309020099.427,30694,9447220000.0,169.56,462536000.0,14700.0,37.65243504,null,"8,910","9,040","9,190","8,790",4.24K,-1.22
948,3/22/18,66.0,2018-03-22,18.0,2.0,1.0,5156476493.57,185044,151366000000.0,8939.44,5530390000.0,1787.5,27.724788500000003,null,10.0,12037.0,870526034.1010001,619453,55273800000.0,562.1,1523460000.0,20487.28125,426.37998730099997,305756,183351600.164,26996,9403220000.0,168.72,404997000.0,15400.0,35.033596700100006,null,"8,600","8,900","9,110","8,500",4.21K,-3.48
949,3/23/18,100.0,2018-03-23,17.0,2.0,1.0,5165293489.97,179685,147941000000.0,8736.25,5954120000.0,1662.49999856,26.25767336,null,5.0,12042.0,1092264244.13,677103,53098100000.0,539.86,1596350000.0,20233.6875,450.096131193,362117,192965304.319,27804,9118940000.0,163.58,348056000.0,15500.0,34.39320423,null,"8,605","8,630","8,780","8,280",3.77K,0.06
951,3/25/18,15.0,2018-03-25,15.0,2.0,1.0,5402066610.18,135139,145882000000.0,8612.81,4569880000.0,1687.5,20.23147507,null,3.0,12052.0,518515435.495,526372,51431600000.0,522.7,1151170000.0,20330.0625,333.965328266,240238,138481774.83,23312,8860500000.0,158.86,241431000.0,15625.0,29.90674294,null,"8,430","8,690","8,690","8,370",0,-2.03
952,3/26/18,42.0,2018-03-26,20.0,2.0,1.0,6203275507.24,187700,143960000000.0,8498.47,5921040000.0,1875.0,26.98506764,null,4.0,12056.0,1024230594.67,626615,51598000000.0,524.29,1638880000.0,20432.53125,434.589110835,299393,247067701.915,28790,8935560000.0,160.16,407135000.0,14900.0,37.2590951,null,"7,920","8,690","8,690","7,840",3.70K,-6.05
953,3/27/18,42.0,2018-03-27,19.0,2.0,1.0,5969723258.41,186913,138919000000.0,8200.0,5378250000.0,1900.0,27.51028124,null,2.0,12058.0,1217102895.76,584055,48193300000.0,489.59,1617940000.0,20267.90625,360.733891105,277446,192163101.51099998,29504,8312700000.0,148.96,385104000.0,15325.0,37.02610041,null,"7,890","7,910","8,280","7,740",5.75K,-0.38
954,3/28/18,75.0,2018-03-28,17.0,2.0,1.0,5267277711.37,177386,132781000000.0,7836.83,4935290000.0,1687.5,24.09273355,null,36.0,12094.0,1109046177.73,579858,44334000000.0,450.29,1514180000.0,20353.3125,367.473352733,264747,257878252.553,28661,7563030000.0,135.49,328374000.0,14425.0,34.421401519899995,null,"7,890","8,020","8,100","7,750",4.18K,0.0
