Week,bitcoin: (Worldwide),ethereum: (Worldwide),litecoin: (Worldwide)
4/7/13,11,0.1,1
4/14/13,6,0.1,0.1
4/21/13,4,0.1,0.1
4/28/13,3,0.1,0.1
5/5/13,2,0.1,0.1
5/12/13,2,0.1,0.1
5/19/13,2,0.1,0.1
5/26/13,2,0.1,0.1
6/2/13,2,0.1,0.1
6/9/13,2,0.1,0.1
6/16/13,2,0.1,0.1
6/23/13,2,0.1,0.1
6/30/13,2,0.1,0.1
7/7/13,2,0.1,0.1
7/14/13,1,0.1,0.1
7/21/13,1,0.1,0.1
7/28/13,1,0.1,0.1
8/4/13,1,0.1,0.1
8/11/13,2,0.1,0.1
8/18/13,2,0.1,0.1
8/25/13,2,0.1,0.1
9/1/13,1,0.1,0.1
9/8/13,1,0.1,0.1
9/15/13,1,0.1,0.1
9/22/13,1,0.1,0.1
9/29/13,2,0.1,0.1
10/6/13,2,0.1,0.1
10/13/13,2,0.1,0.1
10/20/13,2,0.1,0.1
10/27/13,5,0.1,0.1
11/3/13,5,0.1,0.1
11/10/13,5,0.1,0.1
11/17/13,11,0.1,1
11/24/13,14,0.1,3
12/1/13,13,0.1,3
12/8/13,10,0.1,2
12/15/13,10,0.1,2
12/22/13,7,0.1,1
12/29/13,6,0.1,1
1/5/14,7,0.1,1
1/12/14,6,0.1,1
1/19/14,6,0.1,1
1/26/14,6,0.1,1
2/2/14,5,0.1,1
2/9/14,7,0.1,1
2/16/14,6,0.1,1
2/23/14,10,0.1,1
3/2/14,8,0.1,1
3/9/14,5,0.1,1
3/16/14,4,0.1,1
3/23/14,4,0.1,0.1
3/30/14,3,0.1,0.1
4/6/14,3,0.1,0.1
4/13/14,3,0.1,0.1
4/20/14,3,0.1,0.1
4/27/14,2,0.1,0.1
5/4/14,2,0.1,0.1
5/11/14,2,0.1,0.1
5/18/14,2,0.1,0.1
5/25/14,3,0.1,0.1
6/1/14,3,0.1,0.1
6/8/14,3,0.1,0.1
6/15/14,3,0.1,0.1
6/22/14,2,0.1,0.1
6/29/14,2,0.1,0.1
7/6/14,2,0.1,0.1
7/13/14,2,0.1,0.1
7/20/14,2,0.1,0.1
7/27/14,2,0.1,0.1
8/3/14,2,0.1,0.1
8/10/14,3,0.1,0.1
8/17/14,2,0.1,0.1
8/24/14,2,0.1,0.1
8/31/14,2,0.1,0.1
9/7/14,3,0.1,0.1
9/14/14,2,0.1,0.1
9/21/14,2,0.1,0.1
9/28/14,2,0.1,0.1
10/5/14,3,0.1,0.1
10/12/14,2,0.1,0.1
10/19/14,2,0.1,0.1
10/26/14,2,0.1,0.1
11/2/14,2,0.1,0.1
11/9/14,2,0.1,0.1
11/16/14,2,0.1,0.1
11/23/14,2,0.1,0.1
11/30/14,2,0.1,0.1
12/7/14,2,0.1,0.1
12/14/14,2,0.1,0.1
12/21/14,2,0.1,0.1
12/28/14,2,0.1,0.1
1/4/15,2,0.1,0.1
1/11/15,3,0.1,0.1
1/18/15,2,0.1,0.1
1/25/15,2,0.1,0.1
2/1/15,2,0.1,0.1
2/8/15,2,0.1,0.1
2/15/15,2,0.1,0.1
2/22/15,2,0.1,0.1
3/1/15,2,0.1,0.1
3/8/15,2,0.1,0.1
3/15/15,2,0.1,0.1
3/22/15,2,0.1,0.1
3/29/15,2,0.1,0.1
4/5/15,2,0.1,0.1
4/12/15,2,0.1,0.1
4/19/15,2,0.1,0.1
4/26/15,2,0.1,0.1
5/3/15,2,0.1,0.1
5/10/15,2,0.1,0.1
5/17/15,2,0.1,0.1
5/24/15,2,0.1,0.1
5/31/15,2,0.1,0.1
6/7/15,2,0.1,0.1
6/14/15,2,0.1,0.1
6/21/15,2,0.1,0.1
6/28/15,2,0.1,0.1
7/5/15,2,0.1,0.1
7/12/15,2,0.1,0.1
7/19/15,2,0.1,0.1
7/26/15,2,0.1,0.1
8/2/15,2,0.1,0.1
8/9/15,2,0.1,0.1
8/16/15,2,0.1,0.1
8/23/15,2,0.1,0.1
8/30/15,2,0.1,0.1
9/6/15,2,0.1,0.1
9/13/15,2,0.1,0.1
9/20/15,2,0.1,0.1
9/27/15,2,0.1,0.1
10/4/15,2,0.1,0.1
10/11/15,2,0.1,0.1
10/18/15,2,0.1,0.1
10/25/15,2,0.1,0.1
11/1/15,4,0.1,0.1
11/8/15,3,0.1,0.1
11/15/15,2,0.1,0.1
11/22/15,2,0.1,0.1
11/29/15,2,0.1,0.1
12/6/15,4,0.1,0.1
12/13/15,3,0.1,0.1
12/20/15,3,0.1,0.1
12/27/15,2,0.1,0.1
1/3/16,3,0.1,0.1
1/10/16,3,0.1,0.1
1/17/16,3,0.1,0.1
1/24/16,2,0.1,0.1
1/31/16,2,0.1,0.1
2/7/16,2,0.1,0.1
2/14/16,3,0.1,0.1
2/21/16,2,0.1,0.1
2/28/16,2,0.1,0.1
3/6/16,2,0.1,0.1
3/13/16,2,0.1,0.1
3/20/16,2,0.1,0.1
3/27/16,2,0.1,0.1
4/3/16,2,0.1,0.1
4/10/16,2,0.1,0.1
4/17/16,2,0.1,0.1
4/24/16,3,0.1,0.1
5/1/16,4,0.1,0.1
5/8/16,3,0.1,0.1
5/15/16,2,0.1,0.1
5/22/16,2,0.1,0.1
5/29/16,3,0.1,0.1
6/5/16,3,0.1,0.1
6/12/16,4,1,0.1
6/19/16,4,1,0.1
6/26/16,3,0.1,0.1
7/3/16,3,0.1,0.1
7/10/16,3,0.1,0.1
7/17/16,3,0.1,0.1
7/24/16,3,1,0.1
7/31/16,3,0.1,0.1
8/7/16,3,0.1,0.1
8/14/16,2,0.1,0.1
8/21/16,2,0.1,0.1
8/28/16,2,0.1,0.1
9/4/16,3,0.1,0.1
9/11/16,3,0.1,0.1
9/18/16,2,0.1,0.1
9/25/16,2,0.1,0.1
10/2/16,2,0.1,0.1
10/9/16,3,0.1,0.1
10/16/16,2,0.1,0.1
10/23/16,3,0.1,0.1
10/30/16,3,0.1,0.1
11/6/16,3,0.1,0.1
11/13/16,3,0.1,0.1
11/20/16,3,0.1,0.1
11/27/16,3,0.1,0.1
12/4/16,3,0.1,0.1
12/11/16,3,0.1,0.1
12/18/16,4,0.1,0.1
12/25/16,5,0.1,0.1
1/1/17,7,0.1,0.1
1/8/17,6,0.1,0.1
1/15/17,4,0.1,0.1
1/22/17,4,0.1,0.1
1/29/17,4,0.1,0.1
2/5/17,4,0.1,0.1
2/12/17,4,0.1,0.1
2/19/17,5,0.1,0.1
2/26/17,6,1,0.1
3/5/17,7,0.1,0.1
3/12/17,6,1,0.1
3/19/17,5,1,0.1
3/26/17,5,1,0.1
4/2/17,5,1,0.1
4/9/17,5,1,0.1
4/16/17,5,1,0.1
4/23/17,5,1,0.1
4/30/17,7,2,0.1
5/7/17,10,1,1
5/14/17,11,1,0.1
5/21/17,19,5,1
5/28/17,12,4,1
6/4/17,12,4,1
6/11/17,13,7,1
6/18/17,11,5,1
6/25/17,11,5,1
7/2/17,9,3,1
7/9/17,10,4,1
7/16/17,12,4,1
7/23/17,11,3,1
7/30/17,14,2,1
8/6/17,14,3,1
8/13/17,20,3,1
8/20/17,16,3,1
8/27/17,17,3,2
9/3/17,18,3,1
9/10/17,21,3,1
9/17/17,15,2,1
9/24/17,13,2,1
10/1/17,12,2,0.1
10/8/17,18,2,1
10/15/17,19,3,1
10/22/17,20,2,1
10/29/17,27,3,1
11/5/17,29,3,1
11/12/17,31,3,1
11/19/17,28,4,1
11/26/17,65,6,3
12/3/17,91,7,5
12/10/17,83,10,15
12/17/17,100,8,9
12/24/17,63,5,4
12/31/17,48,7,4
1/7/18,46,9,3
1/14/18,57,8,3
1/21/18,37,4,2
1/28/18,39,5,2
2/4/18,47,4,2
2/11/18,27,3,3
2/18/18,23,2,3
2/25/18,19,2,1
3/4/18,19,2,1
3/11/18,19,2,1
3/18/18,18,2,1
3/25/18,18,2,1
4/1/18,17,2,1