Week,bitcoin: (Worldwide),Ethereum: (Worldwide),Litecoin: (Worldwide),Ripple: (Worldwide)
1/3/16,56,1,2,10
1/10/16,59,1,2,9
1/17/16,59,2,2,9
1/24/16,51,4,2,9
1/31/16,48,3,1,10
2/7/16,50,5,1,10
2/14/16,56,4,1,11
2/21/16,53,5,1,10
2/28/16,52,8,1,10
3/6/16,49,8,1,10
3/13/16,50,9,1,9
3/20/16,47,7,1,10
3/27/16,48,8,1,9
4/3/16,47,6,1,9
4/10/16,48,6,1,10
4/17/16,50,5,1,10
4/24/16,55,4,2,10
5/1/16,81,5,1,10
5/8/16,57,6,1,10
5/15/16,51,9,1,9
5/22/16,52,9,1,11
5/29/16,69,8,2,9
6/5/16,65,7,1,9
6/12/16,97,17,2,10
6/19/16,91,14,2,10
6/26/16,73,8,2,10
7/3/16,72,7,1,10
7/10/16,61,6,1,8
7/17/16,53,9,1,10
7/24/16,56,11,1,9
7/31/16,74,8,1,10
8/7/16,56,7,1,9
8/14/16,49,5,1,9
8/21/16,52,5,1,9
8/28/16,50,5,1,10
9/4/16,55,5,1,10
9/11/16,56,5,1,12
9/18/16,53,7,1,11
9/25/16,51,5,1,10
10/2/16,52,5,1,10
10/9/16,57,6,1,10
10/16/16,54,6,1,10
10/23/16,63,5,1,10
10/30/16,70,5,1,10
11/6/16,70,5,1,10
11/13/16,70,5,1,10
11/20/16,69,5,1,9
11/27/16,70,5,1,10
12/4/16,68,5,1,10
12/11/16,67,4,1,9
12/18/16,87,4,1,11
12/25/16,100,5,2,10
1/1/17,7,0.1,0.1,0.1
1/8/17,5,0.1,0.1,0.1
1/15/17,4,0.1,0.1,0.1
1/22/17,4,0.1,0.1,0.1
1/29/17,4,0.1,0.1,0.1
2/5/17,4,0.1,0.1,0.1
2/12/17,4,0.1,0.1,0.1
2/19/17,5,0.1,0.1,0.1
2/26/17,6,1,0.1,0.1
3/5/17,6,0.1,0.1,0.1
3/12/17,5,1,0.1,1
3/19/17,5,1,0.1,1
3/26/17,5,1,0.1,1
4/2/17,5,1,0.1,1
4/9/17,5,1,0.1,1
4/16/17,4,1,0.1,1
4/23/17,5,1,0.1,1
4/30/17,7,2,0.1,1
5/7/17,9,1,1,1
5/14/17,11,1,0.1,2
5/21/17,18,5,1,2
5/28/17,12,4,1,1
6/4/17,12,4,1,1
6/11/17,13,7,1,1
6/18/17,10,5,1,1
6/25/17,11,5,1,1
7/2/17,9,3,1,1
7/9/17,10,4,1,1
7/16/17,11,4,1,1
7/23/17,11,3,1,1
7/30/17,15,2,1,1
8/6/17,14,3,1,1
8/13/17,19,3,1,1
8/20/17,16,3,1,2
8/27/17,17,3,2,2
9/3/17,17,3,1,1
9/10/17,21,3,1,1
9/17/17,15,2,1,1
9/24/17,12,2,1,1
10/1/17,12,2,1,1
10/8/17,18,2,1,2
10/15/17,20,3,1,2
10/22/17,20,2,1,1
10/29/17,27,3,1,1
11/5/17,29,3,1,1
11/12/17,30,3,1,2
11/19/17,27,4,1,2
11/26/17,64,6,3,3
12/3/17,88,7,5,4
12/10/17,81,9,15,14
12/17/17,100,8,8,16
12/24/17,61,5,4,19
12/31/17,46,7,4,26
1/7/18,78,16,6,33
1/14/18,100,13,5,21
1/21/18,66,8,3,12
1/28/18,71,8,3,11
2/4/18,82,7,3,10
2/11/18,47,5,5,8
2/18/18,43,4,5,6
2/25/18,33,4,3,5
3/4/18,34,4,2,6
3/11/18,33,3,2,4
3/18/18,31,3,1,4
3/25/18,29,3,2,4